label,youtube_id,time_start,time_end,split,full_path,num_files
slapping,--7goKgS4kc,15,25,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/slapping/--7goKgS4kc_000015_000025,300
finger snapping,--Kr1PZaPDI,1,11,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/finger snapping/--Kr1PZaPDI_000001_000011,137
capoeira,--o545tThdQ,88,98,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/capoeira/--o545tThdQ_000088_000098,300
changing oil,--rC9Wkh6HA,179,189,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/changing oil/--rC9Wkh6HA_000179_000189,300
front raises,-09lBxmFoWE,30,40,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/front raises/-09lBxmFoWE_000030_000040,281
getting a tattoo,-0COMyPvkHU,61,71,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/getting a tattoo/-0COMyPvkHU_000061_000071,300
marching,-0IErS_cisg,17,27,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/marching/-0IErS_cisg_000017_000027,300
motorcycling,-0L4fgr5GE0,1,11,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/motorcycling/-0L4fgr5GE0_000001_000011,300
ice fishing,-0N5cgaMCfY,316,326,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/ice fishing/-0N5cgaMCfY_000316_000326,300
texting,-0dYbFhZsGU,237,247,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/texting/-0dYbFhZsGU_000237_000247,300
making pizza,-0eUJLYCmbs,1,11,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/making pizza/-0eUJLYCmbs_000001_000011,300
cleaning toilet,-0o2B1AEdoQ,7,17,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cleaning toilet/-0o2B1AEdoQ_000007_000017,301
